Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling,Cooking_With,Carbon Emission (kg/month)
underweight,female,omnivore,less frequently,coal,private,lpg,sometimes,220,very frequently,4717,large,6,1,47,7,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",1647.02
overweight,female,omnivore,daily,wood,walk/bicycle,,sometimes,229,frequently,19,small,5,0,22,9,Yes,['Glass'],"['Microwave', 'Grill', 'Airfryer']",574.9
underweight,male,vegan,daily,electricity,walk/bicycle,,often,116,very frequently,49,small,6,7,1,2,Sometimes,['Metal'],['Oven'],509.6
underweight,female,vegan,daily,electricity,walk/bicycle,,often,58,frequently,97,small,2,13,22,15,Sometimes,"['Paper', 'Plastic', 'Glass']",['Oven'],408.8
normal,female,pescatarian,less frequently,electricity,walk/bicycle,,never,229,rarely,6,extra large,4,21,50,13,Yes,"['Paper', 'Plastic']",['Oven'],489.9
overweight,male,omnivore,twice a day,natural gas,private,hybrid,often,169,never,9677,medium,3,23,22,15,Yes,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2536.57
overweight,male,omnivore,daily,electricity,public,,sometimes,114,frequently,158,extra large,3,4,18,24,Yes,[],"['Stove', 'Oven', 'Microwave']",601.3
obese,male,omnivore,daily,electricity,walk/bicycle,,often,225,frequently,69,extra large,5,1,16,7,Sometimes,['Metal'],"['Stove', 'Oven']",584.5
obese,male,vegetarian,less frequently,coal,walk/bicycle,,often,203,frequently,48,extra large,4,10,46,11,Yes,['Glass'],"['Grill', 'Airfryer']",600.3
obese,male,pescatarian,less frequently,natural gas,walk/bicycle,,never,138,never,41,large,6,22,43,24,Sometimes,['Plastic'],['Microwave'],490.3
overweight,female,omnivore,less frequently,electricity,private,hybrid,never,188,never,9861,large,2,7,2,22,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave']",2458.11
obese,male,vegan,more frequently,coal,walk/bicycle,,often,126,frequently,6,medium,2,7,45,8,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",514.6
normal,female,vegan,less frequently,coal,walk/bicycle,,sometimes,242,frequently,39,extra large,4,12,16,13,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",498.2
normal,male,vegan,less frequently,wood,public,,sometimes,141,rarely,568,small,7,20,38,7,No,"['Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",419.5
underweight,male,pescatarian,daily,natural gas,walk/bicycle,,sometimes,51,very frequently,45,medium,7,7,37,15,Sometimes,['Glass'],[],726.6
overweight,male,vegan,daily,natural gas,private,hybrid,sometimes,274,rarely,8701,medium,4,16,50,23,Sometimes,"['Plastic', 'Glass']",['Microwave'],2311.11
obese,female,omnivore,twice a day,electricity,public,,sometimes,107,rarely,1943,medium,7,5,44,15,No,"['Paper', 'Plastic']","['Stove', 'Oven']",642.85
underweight,male,vegan,twice a day,natural gas,walk/bicycle,,sometimes,171,rarely,46,extra large,4,12,15,4,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",373.1
obese,male,omnivore,daily,wood,private,petrol,often,125,frequently,9658,small,2,16,24,8,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Grill', 'Airfryer']",2430.34
underweight,male,omnivore,twice a day,wood,public,,never,120,very frequently,154,extra large,3,9,25,24,Yes,['Paper'],['Stove'],770.7
normal,female,pescatarian,twice a day,natural gas,public,,often,236,rarely,500,extra large,3,7,42,7,Yes,"['Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",510.1
normal,female,vegetarian,more frequently,wood,walk/bicycle,,never,213,never,41,large,6,6,30,24,Sometimes,"['Plastic', 'Metal']","['Oven', 'Microwave']",375.3
overweight,female,omnivore,more frequently,natural gas,private,lpg,sometimes,105,rarely,9402,small,7,16,30,6,Yes,"['Paper', 'Plastic']","['Oven', 'Microwave']",2107.23
obese,male,pescatarian,less frequently,wood,walk/bicycle,,sometimes,116,rarely,90,extra large,4,14,5,2,Yes,['Paper'],"['Stove', 'Grill', 'Airfryer']",350.6
overweight,male,omnivore,less frequently,coal,walk/bicycle,,never,215,frequently,95,large,7,11,36,11,Yes,[],"['Stove', 'Oven']",718.5
normal,female,pescatarian,daily,electricity,walk/bicycle,,often,101,very frequently,15,large,7,1,15,20,No,"['Paper', 'Plastic', 'Metal']",['Stove'],631.1
obese,male,pescatarian,twice a day,wood,private,lpg,sometimes,250,frequently,7026,large,6,22,25,13,Yes,"['Paper', 'Metal']",['Oven'],1710.32
obese,male,vegan,less frequently,wood,public,,often,149,frequently,555,medium,5,11,35,2,Yes,['Plastic'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",495.15
obese,male,pescatarian,daily,natural gas,private,hybrid,often,157,frequently,107,medium,1,13,17,0,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],503.17
overweight,female,pescatarian,more frequently,wood,private,lpg,often,273,very frequently,8187,small,4,18,31,14,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",2046.34
overweight,female,omnivore,daily,electricity,walk/bicycle,,sometimes,184,never,53,extra large,3,23,50,13,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",528.9
normal,male,vegetarian,more frequently,electricity,walk/bicycle,,often,124,never,42,large,4,9,36,4,No,"['Paper', 'Plastic']",['Microwave'],332.9
normal,female,omnivore,more frequently,natural gas,private,petrol,sometimes,140,rarely,4747,large,2,21,41,5,Sometimes,"['Paper', 'Plastic', 'Metal']",['Oven'],1477.92
overweight,female,pescatarian,twice a day,natural gas,walk/bicycle,,often,229,never,1,small,4,24,44,10,No,['Glass'],['Stove'],455.9
underweight,male,omnivore,twice a day,natural gas,walk/bicycle,,often,197,frequently,5,medium,3,14,4,16,No,['Metal'],[],595.7
normal,male,omnivore,daily,electricity,walk/bicycle,,never,145,never,96,extra large,1,9,3,19,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",378.5
overweight,female,vegetarian,more frequently,wood,public,,never,197,never,571,extra large,3,5,7,15,No,"['Plastic', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",317.25
overweight,male,vegan,twice a day,wood,private,lpg,never,239,very frequently,9771,medium,6,7,7,24,No,['Paper'],['Oven'],2205.89
overweight,female,pescatarian,daily,wood,walk/bicycle,,often,112,never,54,large,7,4,14,21,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",361.2
obese,male,omnivore,daily,natural gas,walk/bicycle,,often,192,never,75,medium,5,13,1,6,Yes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",428.7
underweight,male,pescatarian,less frequently,electricity,private,diesel,often,83,frequently,7155,medium,1,20,43,15,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Stove'],1740.81
normal,female,omnivore,daily,electricity,private,electric,sometimes,108,rarely,9181,large,7,22,13,7,Yes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",967.35
obese,male,omnivore,twice a day,natural gas,private,diesel,sometimes,238,never,2959,large,1,18,30,19,Yes,['Glass'],['Stove'],1024.29
underweight,male,omnivore,twice a day,electricity,walk/bicycle,,sometimes,161,rarely,41,extra large,4,19,13,24,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",510.6
overweight,male,pescatarian,twice a day,wood,public,,never,276,never,1164,small,7,13,40,9,Sometimes,"['Paper', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",456.3
obese,male,omnivore,more frequently,natural gas,public,,often,87,rarely,1970,small,7,4,10,2,Yes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",569.7
normal,male,vegan,twice a day,coal,private,petrol,often,119,very frequently,9425,medium,7,22,36,15,No,['Paper'],['Oven'],2520
normal,female,pescatarian,twice a day,natural gas,walk/bicycle,,never,297,frequently,13,large,2,21,48,16,No,['Glass'],"['Stove', 'Grill', 'Airfryer']",630.7
overweight,male,pescatarian,twice a day,wood,private,hybrid,sometimes,108,frequently,500,extra large,3,20,11,3,No,"['Paper', 'Glass', 'Metal']",['Microwave'],558.8
obese,female,vegan,daily,electricity,private,electric,often,264,very frequently,3302,extra large,6,10,40,10,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave']",838.5
underweight,female,vegan,twice a day,electricity,public,,never,220,rarely,1339,large,5,16,48,15,Yes,"['Plastic', 'Metal']","['Stove', 'Grill', 'Airfryer']",499.95
underweight,male,omnivore,less frequently,wood,public,,never,258,very frequently,286,small,3,14,22,23,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",771.6
obese,male,omnivore,daily,coal,walk/bicycle,,never,55,rarely,22,extra large,2,8,23,19,No,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",543
overweight,male,omnivore,more frequently,natural gas,walk/bicycle,,sometimes,264,never,6,small,1,10,30,13,Yes,['Glass'],"['Stove', 'Grill', 'Airfryer']",499.4
underweight,female,vegan,daily,natural gas,private,hybrid,never,145,very frequently,645,extra large,4,17,17,0,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",766.45
normal,male,omnivore,twice a day,electricity,walk/bicycle,,never,271,never,59,large,7,1,3,4,Yes,"['Plastic', 'Glass']","['Stove', 'Grill', 'Airfryer']",403.6
overweight,female,omnivore,less frequently,electricity,private,petrol,sometimes,123,rarely,9187,large,6,21,40,14,Yes,[],"['Microwave', 'Grill', 'Airfryer']",2340.2
normal,female,vegan,daily,coal,private,lpg,never,199,never,4022,extra large,6,6,8,23,Sometimes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",1026.55
overweight,female,pescatarian,daily,natural gas,walk/bicycle,,sometimes,53,rarely,31,small,7,18,38,6,No,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",480.8
overweight,female,omnivore,daily,electricity,public,,sometimes,73,very frequently,1098,extra large,6,17,2,11,Sometimes,[],"['Stove', 'Microwave', 'Grill', 'Airfryer']",784.7
overweight,female,vegan,less frequently,natural gas,walk/bicycle,,never,166,never,31,small,5,21,14,8,Yes,['Glass'],"['Stove', 'Oven']",324.1
overweight,male,omnivore,twice a day,natural gas,public,,often,276,very frequently,1910,small,7,0,8,9,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Grill', 'Airfryer']",827.1
underweight,male,vegan,more frequently,wood,walk/bicycle,,never,64,very frequently,94,small,7,6,48,0,Yes,['Plastic'],"['Stove', 'Oven', 'Grill', 'Airfryer']",627.9
normal,female,omnivore,more frequently,coal,walk/bicycle,,sometimes,246,very frequently,46,large,6,14,38,18,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",881.1
normal,male,pescatarian,daily,natural gas,private,lpg,never,117,rarely,5934,extra large,3,16,12,6,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1393.24
normal,female,omnivore,more frequently,wood,walk/bicycle,,sometimes,137,very frequently,3,medium,6,7,23,14,No,['Metal'],"['Stove', 'Oven']",751.7
obese,male,vegetarian,less frequently,natural gas,public,,never,190,rarely,1930,large,5,4,12,7,Sometimes,['Metal'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",491.5
obese,male,vegetarian,twice a day,wood,public,,never,184,rarely,1159,small,4,18,23,3,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",[],405.35
overweight,female,pescatarian,less frequently,wood,walk/bicycle,,often,163,rarely,25,extra large,6,9,38,17,Yes,[],"['Stove', 'Microwave']",475.3
normal,male,pescatarian,twice a day,wood,public,,often,166,rarely,459,small,5,11,2,18,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven']",362.05
normal,female,vegan,twice a day,coal,public,,never,229,very frequently,466,extra large,3,10,47,16,Sometimes,['Glass'],['Microwave'],743.7
underweight,male,vegan,less frequently,natural gas,walk/bicycle,,often,278,very frequently,28,medium,4,20,47,21,Yes,"['Paper', 'Plastic', 'Glass']","['Stove', 'Oven', 'Microwave']",729.8
normal,female,vegetarian,more frequently,coal,private,petrol,often,243,rarely,1060,medium,3,9,32,7,Sometimes,"['Plastic', 'Glass', 'Metal']",['Stove'],631.82
underweight,male,pescatarian,twice a day,natural gas,private,diesel,never,202,rarely,9999,extra large,1,1,13,16,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",2100.53
underweight,female,vegan,less frequently,coal,private,hybrid,never,50,never,8636,extra large,1,8,7,23,Yes,"['Plastic', 'Metal']","['Oven', 'Grill', 'Airfryer']",2102.06
normal,male,omnivore,more frequently,natural gas,private,hybrid,often,221,rarely,9695,extra large,4,14,43,8,Sometimes,['Paper'],['Stove'],2642.55
overweight,male,vegan,less frequently,electricity,public,,sometimes,295,frequently,1037,large,7,13,8,16,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",508.35
normal,female,vegetarian,less frequently,electricity,public,,never,135,frequently,1215,small,7,4,43,13,Sometimes,"['Plastic', 'Glass']","['Oven', 'Microwave', 'Grill', 'Airfryer']",572.75
overweight,male,vegetarian,less frequently,natural gas,public,,never,233,never,590,large,7,3,20,1,No,"['Paper', 'Metal']","['Microwave', 'Grill', 'Airfryer']",397.3
underweight,female,pescatarian,less frequently,electricity,walk/bicycle,,sometimes,173,never,87,small,2,19,50,8,No,"['Paper', 'Plastic', 'Glass']","['Grill', 'Airfryer']",389.3
obese,female,pescatarian,less frequently,wood,public,,often,159,frequently,972,large,6,21,24,19,Yes,"['Paper', 'Glass']","['Oven', 'Microwave']",590.5
overweight,male,pescatarian,less frequently,coal,private,electric,never,74,very frequently,9208,medium,7,8,42,14,Yes,"['Paper', 'Plastic']","['Grill', 'Airfryer']",1203.3
overweight,male,vegetarian,less frequently,natural gas,private,electric,sometimes,258,never,2237,large,3,0,13,20,No,"['Plastic', 'Metal']","['Microwave', 'Grill', 'Airfryer']",455.65
normal,male,pescatarian,less frequently,natural gas,private,lpg,never,214,very frequently,4550,extra large,2,0,40,3,Sometimes,[],"['Microwave', 'Grill', 'Airfryer']",1462.7
obese,female,omnivore,more frequently,coal,private,petrol,never,151,frequently,102,extra large,2,13,18,6,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",634.68
normal,male,vegan,daily,coal,private,electric,sometimes,112,rarely,4866,extra large,1,8,16,15,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",595
underweight,female,pescatarian,less frequently,electricity,public,,never,256,never,883,extra large,5,17,28,3,No,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",428.25
overweight,female,vegetarian,daily,electricity,walk/bicycle,,sometimes,133,rarely,85,medium,7,14,18,10,No,['Metal'],"['Oven', 'Grill', 'Airfryer']",377.8
overweight,male,omnivore,daily,natural gas,private,petrol,often,166,very frequently,9461,small,2,16,48,1,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Grill', 'Airfryer']",2631.11
overweight,male,pescatarian,daily,coal,private,diesel,often,295,frequently,614,large,2,4,47,17,Yes,['Plastic'],"['Grill', 'Airfryer']",709.99
overweight,female,vegetarian,less frequently,natural gas,public,,never,110,never,813,small,2,2,10,5,Sometimes,"['Glass', 'Metal']",['Oven'],328.15
obese,male,vegetarian,daily,electricity,walk/bicycle,,sometimes,81,rarely,44,extra large,6,23,36,10,Sometimes,"['Plastic', 'Glass']","['Stove', 'Microwave']",440.6
normal,male,vegetarian,less frequently,coal,public,,sometimes,55,frequently,45,extra large,7,10,44,19,Yes,['Paper'],"['Oven', 'Grill', 'Airfryer']",625.75
obese,male,pescatarian,twice a day,natural gas,public,,often,295,frequently,663,extra large,6,21,15,13,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",617.65
normal,male,omnivore,more frequently,wood,walk/bicycle,,often,66,very frequently,73,small,3,23,9,7,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave', 'Grill', 'Airfryer']",686.6
overweight,female,vegan,twice a day,wood,private,hybrid,often,89,frequently,9760,large,2,24,27,23,Sometimes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Oven', 'Microwave']",2510.5
obese,female,pescatarian,less frequently,natural gas,public,,never,137,very frequently,1422,extra large,5,12,36,24,No,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Microwave']",820.8
obese,male,vegan,more frequently,electricity,private,electric,never,268,frequently,868,extra large,3,22,41,1,Sometimes,['Paper'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",547.7
normal,male,vegan,twice a day,wood,public,,sometimes,151,frequently,1667,extra large,4,21,44,24,No,['Plastic'],"['Stove', 'Microwave', 'Grill', 'Airfryer']",628.45
underweight,female,omnivore,twice a day,natural gas,private,petrol,sometimes,65,rarely,4965,extra large,3,21,12,18,Sometimes,[],"['Stove', 'Oven']",1490.28
underweight,male,omnivore,more frequently,coal,private,petrol,sometimes,148,frequently,4888,medium,6,21,1,11,No,"['Paper', 'Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",1545.3
obese,female,omnivore,twice a day,electricity,private,diesel,often,257,rarely,8012,large,7,23,7,15,Yes,"['Glass', 'Metal']","['Stove', 'Microwave']",1881.25
overweight,male,pescatarian,less frequently,electricity,walk/bicycle,,never,196,rarely,25,large,1,21,3,1,Yes,"['Plastic', 'Glass']","['Stove', 'Microwave', 'Grill', 'Airfryer']",324.6
obese,female,pescatarian,twice a day,wood,walk/bicycle,,never,120,rarely,4,small,2,8,14,12,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']",['Oven'],332
normal,female,omnivore,twice a day,natural gas,public,,often,245,very frequently,1712,medium,1,1,7,7,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",794.6
underweight,male,pescatarian,less frequently,coal,walk/bicycle,,often,286,frequently,14,small,7,21,32,15,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",608.1
overweight,male,pescatarian,daily,wood,private,petrol,often,158,very frequently,4622,large,2,4,47,23,Yes,['Metal'],[],1585.22
normal,male,pescatarian,more frequently,wood,public,,often,298,very frequently,283,small,2,0,5,6,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",586.95
overweight,female,pescatarian,more frequently,natural gas,private,hybrid,often,149,very frequently,2464,extra large,3,5,15,9,Yes,['Glass'],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1184.34
underweight,female,omnivore,less frequently,natural gas,private,diesel,sometimes,222,frequently,3765,extra large,5,20,32,0,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",1327.52
overweight,female,omnivore,twice a day,coal,public,,never,138,rarely,1561,medium,4,12,45,13,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",682.35
overweight,male,omnivore,less frequently,coal,walk/bicycle,,often,57,rarely,63,small,4,24,12,13,No,"['Plastic', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",517.7
underweight,male,omnivore,twice a day,natural gas,public,,sometimes,90,very frequently,179,small,2,23,27,1,No,[],"['Grill', 'Airfryer']",789.95
obese,female,pescatarian,less frequently,electricity,private,petrol,often,91,very frequently,7354,large,7,5,22,9,Sometimes,"['Plastic', 'Glass', 'Metal']","['Microwave', 'Grill', 'Airfryer']",2053.57
obese,male,vegan,less frequently,electricity,public,,sometimes,58,very frequently,263,extra large,3,6,25,23,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],603.95
underweight,female,omnivore,more frequently,coal,public,,never,101,frequently,1379,medium,4,9,15,11,Sometimes,"['Paper', 'Glass']","['Stove', 'Oven', 'Grill', 'Airfryer']",684.05
normal,male,vegan,less frequently,coal,private,lpg,never,121,rarely,2795,large,1,3,33,21,No,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",857.57
obese,female,vegetarian,more frequently,wood,walk/bicycle,,often,213,very frequently,25,large,3,22,16,2,Sometimes,['Plastic'],"['Microwave', 'Grill', 'Airfryer']",611.8
underweight,male,pescatarian,more frequently,electricity,public,,sometimes,116,never,793,medium,4,1,17,19,No,"['Paper', 'Glass', 'Metal']",['Microwave'],345.75
obese,male,vegetarian,twice a day,natural gas,walk/bicycle,,often,186,frequently,58,extra large,2,21,27,0,Sometimes,"['Paper', 'Plastic']","['Stove', 'Oven', 'Microwave']",519.6
overweight,female,vegetarian,more frequently,coal,public,,often,121,very frequently,419,small,5,11,12,22,Sometimes,['Plastic'],"['Grill', 'Airfryer']",673.05
overweight,male,omnivore,twice a day,natural gas,private,petrol,never,197,very frequently,7164,large,3,5,0,0,Sometimes,['Plastic'],"['Oven', 'Microwave']",2081.69
normal,male,pescatarian,less frequently,wood,private,petrol,often,80,rarely,3566,large,2,5,46,6,Sometimes,[],"['Stove', 'Oven', 'Microwave']",1108.17
underweight,female,vegan,less frequently,wood,walk/bicycle,,never,84,frequently,95,extra large,2,12,41,11,No,"['Plastic', 'Glass']",[],468.4
underweight,male,vegan,less frequently,coal,private,lpg,never,203,rarely,5047,medium,3,17,36,0,No,['Plastic'],['Microwave'],1249.6
underweight,male,pescatarian,daily,electricity,public,,sometimes,193,rarely,419,small,7,4,5,12,Yes,['Metal'],"['Stove', 'Oven']",364.75
normal,female,vegetarian,less frequently,wood,walk/bicycle,,often,199,frequently,87,extra large,7,0,34,7,Sometimes,"['Paper', 'Metal']","['Oven', 'Microwave']",522.4
underweight,female,pescatarian,daily,wood,public,,often,55,very frequently,862,small,3,1,21,20,No,"['Glass', 'Metal']",['Microwave'],650.6
obese,male,pescatarian,daily,electricity,public,,never,177,rarely,1311,large,3,12,18,24,Yes,"['Paper', 'Metal']","['Stove', 'Oven', 'Microwave']",462.25
underweight,female,vegan,less frequently,electricity,walk/bicycle,,sometimes,52,very frequently,51,large,6,17,3,11,Yes,"['Glass', 'Metal']","['Oven', 'Microwave']",558.7
normal,male,omnivore,twice a day,wood,private,diesel,never,298,never,1936,medium,1,4,38,8,No,['Glass'],"['Oven', 'Grill', 'Airfryer']",795.36
underweight,female,vegan,twice a day,natural gas,private,lpg,never,217,very frequently,7014,extra large,7,22,28,18,Yes,"['Paper', 'Plastic', 'Metal']",[],1878.02
normal,female,omnivore,twice a day,coal,public,,often,274,frequently,645,extra large,4,8,18,16,No,['Paper'],['Oven'],691.65
overweight,female,vegan,less frequently,coal,public,,often,79,very frequently,1600,small,1,11,28,12,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven']",699.4
obese,male,pescatarian,more frequently,electricity,public,,never,257,very frequently,808,medium,5,16,40,6,Sometimes,"['Paper', 'Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",732.6
overweight,female,pescatarian,more frequently,natural gas,public,,never,244,frequently,488,medium,7,24,10,3,Sometimes,"['Paper', 'Glass', 'Metal']",[],551.3
overweight,male,vegetarian,less frequently,natural gas,walk/bicycle,,sometimes,243,frequently,48,large,6,17,38,2,Yes,"['Paper', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",581.3
obese,male,vegetarian,more frequently,electricity,private,electric,often,288,rarely,7203,small,5,10,8,3,No,"['Paper', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",683.95
underweight,female,pescatarian,twice a day,natural gas,private,diesel,often,98,rarely,4048,medium,1,17,19,24,Yes,"['Paper', 'Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave']",1112.01
obese,male,vegetarian,more frequently,wood,walk/bicycle,,never,197,rarely,36,large,2,9,18,4,No,"['Paper', 'Plastic', 'Glass']","['Oven', 'Grill', 'Airfryer']",334.7
obese,female,vegetarian,less frequently,coal,private,hybrid,never,76,never,2672,medium,4,12,15,7,No,['Glass'],[],898.72
overweight,male,pescatarian,more frequently,coal,private,petrol,sometimes,79,rarely,7907,large,6,10,43,24,Yes,"['Paper', 'Plastic', 'Glass']",[],2031.54
normal,female,pescatarian,less frequently,electricity,public,,often,129,very frequently,595,large,2,8,39,0,No,['Metal'],['Oven'],676.15
normal,female,vegetarian,more frequently,coal,private,diesel,sometimes,164,very frequently,6423,medium,4,10,26,0,Yes,['Paper'],"['Oven', 'Microwave', 'Grill', 'Airfryer']",1764.23
overweight,male,pescatarian,twice a day,natural gas,public,,often,281,very frequently,863,small,1,20,44,17,Sometimes,['Metal'],"['Stove', 'Microwave']",796.75
underweight,male,vegetarian,daily,electricity,walk/bicycle,,never,258,rarely,29,small,2,10,22,16,Yes,"['Plastic', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",366.3
underweight,female,vegan,twice a day,natural gas,private,petrol,often,226,rarely,2027,extra large,5,13,17,12,Sometimes,"['Paper', 'Plastic']","['Stove', 'Grill', 'Airfryer']",793.28
obese,female,vegan,daily,wood,private,electric,sometimes,139,rarely,1372,large,2,22,6,17,Yes,"['Plastic', 'Glass']","['Oven', 'Microwave']",379
normal,male,pescatarian,twice a day,electricity,public,,sometimes,233,rarely,1888,small,3,8,9,12,No,['Metal'],"['Stove', 'Grill', 'Airfryer']",442.7
underweight,female,vegetarian,twice a day,wood,walk/bicycle,,often,146,never,43,small,5,24,32,6,Yes,[],"['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",361.1
obese,female,vegetarian,more frequently,wood,private,diesel,never,69,never,829,small,7,11,36,18,Sometimes,"['Paper', 'Glass', 'Metal']","['Oven', 'Microwave']",494.16
overweight,male,omnivore,daily,coal,walk/bicycle,,often,272,never,60,medium,5,17,24,10,No,['Glass'],"['Oven', 'Microwave']",521.7
overweight,female,omnivore,more frequently,natural gas,public,,never,270,frequently,504,large,5,20,19,4,Sometimes,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Grill', 'Airfryer']",678.2
obese,female,vegetarian,twice a day,electricity,public,,sometimes,201,frequently,944,large,3,24,45,11,Sometimes,['Paper'],"['Stove', 'Microwave']",593.3
normal,female,vegan,less frequently,coal,public,,sometimes,190,rarely,562,small,7,4,48,22,No,"['Paper', 'Metal']","['Grill', 'Airfryer']",491.6
overweight,female,pescatarian,more frequently,natural gas,walk/bicycle,,sometimes,128,rarely,47,extra large,7,4,24,24,No,"['Plastic', 'Glass', 'Metal']","['Stove', 'Oven', 'Microwave', 'Grill', 'Airfryer']",488.3
overweight,female,vegan,daily,coal,private,electric,sometimes,278,very frequently,2193,small,5,12,37,3,Yes,['Metal'],"['Stove', 'Oven', 'Grill', 'Airfryer']",789.95
overweight,male,omnivore,twice a day,natural gas,public,,often,166,never,1170,small,7,5,34,7,Sometimes,"['Paper', 'Glass']","['Oven', 'Microwave']",559.1
obese,female,vegan,daily,electricity,walk/bicycle,,sometimes,236,rarely,32,large,7,13,38,17,No,"['Glass', 'Metal']","['Oven', 'Microwave', 'Grill', 'Airfryer']",429.1
normal,female,pescatarian,twice a day,coal,private,lpg,never,82,never,610,extra large,2,10,14,14,No,"['Plastic', 'Glass', 'Metal']",['Microwave'],451.46
normal,female,vegetarian,twice a day,coal,private,hybrid,often,95,frequently,191,medium,1,6,23,12,Yes,"['Paper', 'Glass', 'Metal']",['Stove'],523.11
